zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle de Ibiza, Ibiza, Madrid",€1.580.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Isaac Ramos, 4 D, Simancas, Madrid",€845.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Isabel Serrano, Valdeacederas, Madrid",€424.999,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Jacinto Verdaguer, Opañel, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Jorge Juan, Recoletos, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de José Abascal, Nuevos Ministerios-Ríos Rosas, Madrid",€2.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de José Ortega y Gasset, Castellana, Madrid",€16.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Juan de Austria, Trafalgar, Madrid",€1.240.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Juanelo, 21, Lavapiés-Embajadores, Madrid",€179.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Julián Hernández, 8, San Juan Bautista, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Bahia de la Concha, 31, Campo de las Naciones-Corralejos, Madrid",€995.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Bola, 9, Palacio, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Cava Baja, 1, Palacio, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Costa Brava, 13, Mirasierra, Madrid",€3.524.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Encomienda, Lavapiés-Embajadores, Madrid",€475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Libertad, Chueca-Justicia, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de la Luna, 12, Malasaña-Universidad, Madrid",€225.000,,,,,,,,,,,,,,,,,,,,,,,
